lon,lat,ve,vn,ee,en,cen
73.83806,37.7297,-4.557,21.543,0.248,0.321,-0.027
71.53963,38.12578,-9.702,14.924,0.512,0.463,0.026
99.7696,34.03482,15.113,2.95,0.164,0.154,-0.004
104.11373,32.45425,8.414,-2.153,0.278,0.267,-0.002
104.66306,33.27971,9.376,-1.945,0.202,0.221,0.012
104.06237,34.48304,8.794,-0.189,0.109,0.109,-0.0
102.34282,35.89201,9.979,3.765,0.374,0.528,-0.046
104.67699,37.07792,6.929,0.393,0.125,0.162,-0.003
101.03809,37.55309,9.415,1.861,0.411,0.452,-0.013
100.70576,38.7129,4.121,1.474,0.096,0.087,-0.001
101.39301,35.97446,10.472,2.782,0.801,1.022,-0.502
100.24574,36.05164,10.075,4.865,0.285,0.328,0.035
99.59747,37.31648,9.501,3.503,0.237,0.294,0.005
101.92902,36.84388,10.52,2.119,0.154,0.166,0.001
104.62925,35.80755,8.559,-0.692,0.075,0.079,-0.0
101.67816,37.53882,11.086,1.998,0.619,1.119,0.362
98.82359,38.94136,5.582,2.011,0.404,0.382,-0.082
92.2342,22.98321,8.925,34.799,0.7,0.326,-0.002
87.69602,37.69558,7.582,12.142,0.434,0.36,0.016
113.75115,27.44896,6.765,-2.282,0.052,0.048,0.0
102.43085,21.40581,6.632,-6.04,0.605,0.551,-0.188
107.29839,40.37202,3.977,-2.186,0.159,0.155,0.006
106.01371,37.11579,4.978,-1.343,0.174,0.169,0.002
104.53292,38.38433,5.407,0.961,0.124,0.135,-0.0
103.21721,39.27325,3.648,0.287,0.16,0.17,0.001
97.74089,39.85017,3.223,3.084,0.208,0.285,-0.01
96.71929,39.0065,3.459,3.467,0.641,0.61,0.22
90.74619,37.83806,7.481,9.97,0.48,0.474,0.081
96.67576,37.38612,9.306,5.956,0.157,0.152,-0.003
96.42292,38.37674,8.226,5.939,0.511,0.6,0.017
92.13484,36.71689,7.556,10.352,0.469,0.415,-0.0
90.17947,36.80746,8.425,15.341,1.709,1.663,-0.451
100.42399,34.94249,13.363,3.836,0.24,0.257,0.0
99.65236,35.70705,11.428,4.659,0.538,1.072,0.151
88.45935,36.34293,4.232,18.501,4.597,7.732,-7.679
84.16065,34.55207,5.729,15.846,0.467,0.521,0.001
87.18754,35.50458,6.127,16.878,0.811,1.39,-0.04
84.32265,35.95565,5.19,15.449,0.41,0.397,-0.004
93.25486,39.52753,3.325,4.881,0.255,0.321,0.019
98.59756,40.58494,3.504,1.799,0.131,0.111,-0.001
93.84157,39.31854,4.496,4.2,1.122,2.689,-1.526
101.39799,23.84306,2.629,-10.1,0.474,0.374,-0.006
100.68165,24.48369,1.474,-9.075,0.468,0.444,0.007
100.39029,22.28743,1.62,-4.75,0.497,0.545,0.002
98.32185,22.47842,-0.175,-2.123,0.821,1.322,-0.487
100.39296,22.85238,1.521,-8.242,1.433,1.131,0.042
101.1162,22.19282,2.855,-5.793,0.422,0.555,-0.056
