lon,lat,ve,vn,ee,en,cen
101.92902,36.84388,10.596,1.949,0.172,0.173,0.001
104.62925,35.80755,8.518,-0.725,0.085,0.087,-0.001
101.67816,37.53882,11.817,2.014,1.55,1.197,0.494
98.82359,38.94136,6.759,3.499,0.486,0.511,-0.053
92.2342,22.98321,9.381,34.75,0.675,0.333,0.002
87.69602,37.69558,6.303,13.607,0.401,0.564,-0.028
113.14317,27.07605,6.784,-2.299,0.051,0.048,-0.0
102.43085,21.40581,6.636,-5.997,0.61,0.56,-0.195
107.29839,40.37202,3.958,-2.209,0.178,0.179,0.002
106.01371,37.11579,4.925,-1.463,0.187,0.181,0.004
104.53292,38.38433,5.039,0.934,0.145,0.144,-0.002
103.21721,39.27325,3.6,0.285,0.168,0.178,0.004
97.74089,39.85017,3.389,2.785,0.308,0.378,0.017
96.71929,39.0065,4.637,4.911,0.715,0.687,0.318
90.74619,37.83806,7.289,9.659,0.379,0.445,0.05
96.67576,37.38612,9.324,6.003,0.167,0.157,-0.005
96.42292,38.37674,8.884,5.376,0.612,0.667,-0.01
92.13484,36.71689,7.186,9.436,0.426,0.432,0.008
90.17947,36.80746,8.795,15.342,1.042,1.337,0.769
100.42399,34.94249,13.49,3.938,0.252,0.285,0.006
99.65236,35.70705,11.415,4.711,0.563,1.116,0.182
88.45935,36.34293,3.911,18.346,4.814,7.721,-7.257
84.16065,34.55207,5.747,15.864,0.518,0.538,-0.006
87.18754,35.50458,5.592,16.48,0.862,1.399,-0.063
84.32265,35.95565,4.682,16.009,0.415,0.447,-0.016
93.25486,39.52753,3.187,4.741,0.277,0.353,0.033
98.59756,40.58494,3.346,1.457,0.137,0.138,0.001
93.84157,39.31854,4.328,2.51,1.222,3.574,-2.351
101.32542,23.94806,2.185,-10.119,0.406,0.382,-0.015
100.68144,24.48274,1.426,-9.195,0.489,0.581,-0.023
100.39029,22.28743,1.603,-4.682,0.516,0.551,0.024
98.32185,22.47842,-0.188,-2.177,0.85,1.327,-0.551
100.39296,22.85238,1.674,-8.167,1.532,1.178,-0.037
101.1162,22.19282,2.865,-5.768,0.45,0.596,-0.049
99.53455,21.68277,1.498,-3.709,1.153,0.844,-0.401
100.87846,23.12629,1.146,-8.467,0.614,0.652,0.023
100.25453,21.44677,3.122,-2.965,0.986,0.749,-0.014
100.62402,21.15248,5.201,-4.215,2.487,2.837,-1.697
96.31352,20.47806,-4.546,6.911,3.146,1.211,0.568
97.96933,20.93316,1.231,0.331,0.752,0.744,-0.043
100.3926,20.62891,6.964,-3.33,2.912,3.179,-5.847
101.29762,22.97597,3.013,-6.956,0.431,0.519,-0.044
104.52464,20.62659,6.984,-3.794,0.265,0.203,0.019
104.43887,14.59953,6.27,-1.307,0.303,0.245,0.021
99.31161,18.3935,5.114,0.53,0.582,0.389,0.008
113.25955,37.04759,5.153,-2.551,0.084,0.08,-0.0
113.91483,39.43005,4.616,-1.823,0.147,0.162,0.003
109.109,37.82422,5.119,-2.391,0.063,0.06,0.0
111.14042,34.61584,6.206,-2.332,0.153,0.174,-0.003
113.08143,38.72245,4.693,-2.384,0.128,0.138,-0.001
114.31286,39.91379,4.39,-1.817,0.164,0.174,0.007
112.24728,37.47483,5.281,-1.916,0.338,0.307,-0.012
111.00943,35.4916,5.948,-2.218,0.136,0.149,0.005
108.74426,34.43929,6.473,-2.341,0.159,0.133,-0.001
108.38659,33.59248,7.055,-2.578,0.164,0.19,0.002
115.7849,35.06512,5.17,-2.47,0.062,0.049,0.0
100.47934,23.90715,-0.77,-8.972,1.379,0.995,-0.681
99.91972,23.49764,-0.415,-7.796,0.587,0.374,-0.041
99.61212,24.43033,0.067,-8.009,0.44,0.414,0.001
99.5317,25.93834,2.089,-11.168,0.248,0.258,-0.006
138.28049,48.93871,0.603,0.425,1.488,1.122,-0.473
128.31749,40.76453,0.939,-0.75,0.086,0.106,-0.0
124.15524,48.51792,0.99,-0.445,0.07,0.069,-0.001
132.85054,47.68344,0.424,-0.158,0.231,0.251,-0.02
69.76523,37.93761,-8.599,6.753,0.718,0.424,0.005
72.40222,39.34618,-6.829,8.926,1.317,1.448,0.453
70.97291,44.51136,0.373,2.164,0.341,0.462,0.127
73.68554,42.56717,-0.371,2.03,0.17,0.175,-0.002
75.0116,42.28247,0.462,3.507,0.467,0.463,-0.012
72.14382,42.4264,0.143,1.467,0.154,0.216,-0.003
77.14184,42.45684,0.908,6.777,0.207,0.266,-0.005
72.86641,41.86251,0.465,2.275,0.421,0.477,-0.025
74.24124,39.52794,-3.102,14.211,1.247,1.354,-0.251
73.12616,39.61537,-0.33,9.85,0.494,0.72,-0.095
75.36872,39.62023,1.908,17.604,0.569,0.608,0.045
73.47426,40.60222,-3.687,9.698,0.796,0.852,-0.216
72.43541,39.81813,-0.138,8.69,0.224,0.283,0.002
73.43796,40.92867,-2.51,8.884,0.908,0.853,0.004
71.61698,40.3928,-0.41,6.12,0.42,0.573,-0.012
71.74976,40.84341,-0.622,3.85,0.282,0.338,-0.019
71.04046,41.20741,-0.78,1.795,0.384,0.324,-0.051
68.22185,42.11563,-0.607,1.852,0.217,0.328,0.006
75.6354,43.16789,-0.246,1.394,0.684,0.609,0.023
74.92199,41.94275,-0.239,5.14,0.327,0.317,0.012
76.99363,43.10175,1.058,3.31,0.332,0.386,0.046
78.38075,43.18587,1.842,4.235,0.828,0.766,0.378
78.84833,43.42667,1.043,3.942,0.789,1.372,-0.0
77.4692,42.82319,1.443,4.738,0.297,0.269,0.008
78.33909,42.50877,0.792,8.379,0.496,0.489,0.018
78.37342,42.63896,0.796,7.447,0.656,0.713,-0.003
120.04478,35.50962,4.005,-2.577,0.1,0.099,0.0
76.73917,41.92208,0.953,8.012,0.24,0.218,-0.01
75.39805,40.88896,-0.229,9.705,0.46,0.564,0.022
77.6074,40.52591,2.398,13.801,0.217,0.2,-0.012
74.38643,41.58849,0.033,5.633,0.201,0.279,-0.01
76.59207,41.0828,0.542,12.076,0.403,0.501,-0.051
74.93011,41.35695,-0.566,5.846,0.495,0.634,0.001
75.97289,41.30322,-0.052,9.854,0.35,0.385,-0.019
79.1315,42.31262,1.782,9.419,0.238,0.268,0.004
79.20572,41.62445,3.864,10.769,0.536,0.54,-0.016
82.21745,41.73534,6.727,10.08,0.44,0.456,0.003
83.07174,42.38442,5.726,7.534,0.373,0.373,-0.0
76.68404,42.15951,0.788,7.587,0.273,0.288,0.005
75.64801,41.83276,0.089,6.264,0.267,0.348,-0.015
83.62333,28.20306,5.557,22.61,0.98,0.84,-0.012
80.2967,43.23068,2.575,5.438,0.252,0.284,-0.001
80.76591,43.09567,2.493,6.42,0.451,0.443,0.032
80.91874,42.90605,3.031,7.487,0.273,0.354,-0.035
80.65042,43.71897,2.509,5.401,0.183,0.25,0.003
81.38657,44.23135,2.38,4.373,0.304,0.281,0.004
80.52981,45.30225,-0.12,3.35,0.506,0.64,-0.016
82.07713,44.75818,1.874,5.161,0.441,0.396,-0.015
99.53569,42.55524,4.229,0.96,0.288,0.263,-0.001
83.4472,30.8189,6.567,18.781,1.668,0.923,-0.346
86.75786,42.4047,3.453,7.257,0.39,0.575,0.047
86.87337,42.02907,4.431,8.024,0.554,0.544,0.069
85.59354,43.69409,3.258,6.765,0.326,0.342,-0.004
85.13792,42.96658,3.584,7.516,0.268,0.253,0.004
89.04531,43.59834,4.599,6.401,0.187,0.262,0.001
88.86217,43.12164,4.534,6.775,0.239,0.301,0.014
90.37271,47.09099,1.995,3.218,0.391,0.716,-0.086
93.0208,43.43301,4.972,4.119,0.319,0.404,0.045
92.04376,45.5337,4.694,4.846,1.176,1.467,1.463
93.92672,44.14745,4.71,4.077,0.36,0.444,-0.005
89.33006,41.49581,3.925,6.197,0.454,1.392,0.114
92.33476,42.42992,4.145,4.867,0.222,0.247,0.0
99.37986,44.20546,4.304,-0.08,1.661,1.426,0.165
78.04723,44.43757,-0.818,1.497,1.115,0.587,-0.076
76.5085,43.77074,-0.13,1.998,0.176,0.238,-0.009
74.61882,45.83056,0.262,1.038,0.518,0.493,0.02
77.85385,46.4304,0.236,0.723,0.87,0.909,-0.004
78.57515,46.88162,-0.305,1.542,2.226,2.95,3.399
79.43634,47.69905,-1.781,0.774,0.888,0.892,-0.049
95.68781,39.91129,2.328,2.015,0.473,1.647,-0.324
94.91095,40.66568,3.425,3.707,0.193,0.235,-0.002
107.83049,41.63421,3.192,-0.866,0.086,0.107,0.0
112.55282,40.78596,3.357,-1.327,0.222,0.308,0.006
112.6449,40.11801,4.062,-1.87,0.139,0.14,-0.001
114.1641,40.33081,3.55,-1.865,0.249,0.202,0.003
114.87342,40.61434,3.4,-1.49,0.154,0.175,0.002
113.31655,39.74323,4.266,-1.931,0.184,0.214,0.008
117.23861,39.94775,3.242,-1.241,0.092,0.097,0.002
120.50314,41.35155,2.197,-0.955,0.102,0.113,-0.002
118.76671,39.57398,2.713,-1.874,0.168,0.169,-0.0
116.02816,40.39099,3.204,-1.268,0.176,0.175,-0.003
83.9616,51.00164,-0.805,0.385,0.272,0.238,0.004
110.04825,44.70962,3.365,-1.312,0.539,0.62,0.163
82.67297,46.59061,1.079,1.331,0.378,0.371,-0.044
84.43227,46.15243,2.769,2.971,0.471,0.575,0.026
87.84538,48.24078,1.077,5.076,0.389,0.468,-0.049
85.31283,48.10718,1.174,2.845,0.364,0.539,0.056
87.71083,45.38142,3.252,5.614,0.124,0.127,0.0
80.33021,49.06691,0.541,0.502,0.265,0.309,0.013
78.63878,32.99754,-2.652,17.803,0.777,0.665,-0.041
84.04517,30.46543,8.039,20.001,1.27,0.968,0.703
96.16232,28.71894,17.18,15.092,0.465,0.552,-0.052
96.74193,20.6654,-3.768,0.944,3.602,1.31,2.656
88.70158,28.60219,13.963,22.498,0.212,0.196,-0.002
80.71336,32.62304,1.747,17.167,0.185,0.188,-0.002
95.34133,26.46633,8.644,23.278,0.846,1.031,-0.136
