longitude,latitude,fid,e_vel,n_vel,e_err,n_err,station,ref
98.462,36.943,"4901",9.7,5.8,0.3,0.3,G159_GPS,wang_shen_2020
94.998,40.549,"4902",3.6,3.9,0.2,0.2,G160_GPS,wang_shen_2020
94.813,40.172,"4903",3.4,4.3,0.2,0.2,G161_GPS,wang_shen_2020
94.555,39.716,"4904",3.5,4.7,0.2,0.2,G162_GPS,wang_shen_2020
93.489,39.645,"4905",3.6,5.2,0.2,0.3,G163_GPS,wang_shen_2020
93.003,39.287,"4906",4.5,6,0.2,0.2,G165_GPS,wang_shen_2020
94.355,38.809,"4907",6.6,5.4,0.4,0.4,G167_GPS,wang_shen_2020
94.998,38.056,"4908",7.4,6,0.5,0.5,G169_GPS,wang_shen_2020
93.499,37.902,"4909",8.6,7.9,0.4,0.3,G170_GPS,wang_shen_2020
90.804,38.287,"4910",8.7,9.9,0.4,0.4,G171_GPS,wang_shen_2020
89.196,38.717,"4911",2.1,8.1,0.3,0.4,G172_GPS,wang_shen_2020
97.046,42.273,"4912",4.1,2.7,0.6,0.6,G301_GPS,wang_shen_2020
95.099,42.489,"4913",4.8,3,0.4,0.4,G302_GPS,wang_shen_2020
102.882,41.812,"4914",3.9,-0.5,0.4,0.4,G303_GPS,wang_shen_2020
93.854,41.888,"4915",4.4,4.2,0.4,0.4,G304_GPS,wang_shen_2020
96.918,41.233,"4916",3.4,2.1,0.4,0.4,G305_GPS,wang_shen_2020
103.727,39.946,"4917",3.7,0,0.5,0.6,G306_GPS,wang_shen_2020
101.971,39.334,"4918",3.1,0.3,0.4,0.4,G307_GPS,wang_shen_2020
98.55,39.939,"4919",3.4,1.4,0.4,0.4,G308_GPS,wang_shen_2020
97.967,39.677,"4920",4.1,2.2,0.4,0.4,G309_GPS,wang_shen_2020
105.094,39.627,"4921",4.5,-0.5,0.5,0.5,G310_GPS,wang_shen_2020
94.327,39.615,"4922",3.7,4.4,0.4,0.4,G311_GPS,wang_shen_2020
94.258,39.413,"4923",5.1,5.3,0.4,0.4,G312_GPS,wang_shen_2020
97.088,39.457,"4924",5.6,4.3,0.4,0.4,G313_GPS,wang_shen_2020
94.311,39.158,"4925",6.6,4.9,0.4,0.4,G314_GPS,wang_shen_2020
95.457,39.25,"4926",6,4.1,0.4,0.4,G315_GPS,wang_shen_2020
90.728,38.869,"4927",3.5,7.6,0.5,0.6,G316_GPS,wang_shen_2020
101.3,39.06,"4928",3.6,0.5,0.4,0.4,G317_GPS,wang_shen_2020
100.172,38.967,"4929",3.7,1.1,0.4,0.4,G318_GPS,wang_shen_2020
91.497,38.758,"4930",5.9,7.9,0.4,0.4,G319_GPS,wang_shen_2020
101.005,38.719,"4931",5.1,1.2,0.4,0.4,G320_GPS,wang_shen_2020
100.872,38.611,"4932",4.6,1.5,0.5,0.5,G321_GPS,wang_shen_2020
89.557,38.517,"4933",2.8,9.4,0.4,0.4,G322_GPS,wang_shen_2020
93.425,38.533,"4934",6.7,5.9,0.7,0.7,G323_GPS,wang_shen_2020
89.868,38.439,"4935",3.7,9.5,0.4,0.3,G324_GPS,wang_shen_2020
94.613,38.33,"4936",7.6,4.9,0.4,0.4,G325_GPS,wang_shen_2020
90.102,38.351,"4937",6.8,10.6,0.4,0.4,G326_GPS,wang_shen_2020
100.775,38.335,"4938",5.3,1.8,0.4,0.5,G327_GPS,wang_shen_2020
90.269,38.285,"4939",7.2,11,0.3,0.4,G328_GPS,wang_shen_2020
100.739,38.437,"4940",5.7,1.6,0.4,0.4,G329_GPS,wang_shen_2020
100.344,38.167,"4941",6.1,1.8,0.4,0.4,G330_GPS,wang_shen_2020
102.748,38.165,"4942",5.2,0.9,0.5,0.5,G331_GPS,wang_shen_2020
92.419,38.072,"4943",7.9,8.6,0.6,0.6,G332_GPS,wang_shen_2020
89.339,38.11,"4944",6.5,10.4,0.7,0.7,G333_GPS,wang_shen_2020
100.24,38.014,"4945",7.4,3.3,0.5,0.5,G334_GPS,wang_shen_2020
91.677,37.853,"4946",8.9,11,0.4,0.4,G335_GPS,wang_shen_2020
99.411,37.618,"4947",9.7,2.8,0.4,0.4,G336_GPS,wang_shen_2020
101.726,37.422,"4948",9,1.5,0.5,0.5,G337_GPS,wang_shen_2020
100.897,37.661,"4949",8.8,1.9,0.4,0.4,G338_GPS,wang_shen_2020
90.918,37.025,"4950",7.8,12.6,0.4,0.4,G339_GPS,wang_shen_2020
106.216,37.277,"4951",5.7,-1.7,0.4,0.4,G340_GPS,wang_shen_2020
95.482,37.216,"4952",8.6,7.3,0.5,0.6,G341_GPS,wang_shen_2020
106.625,37.117,"4953",5.3,-2.4,0.5,0.5,G342_GPS,wang_shen_2020
104.051,36.987,"4954",10.5,-0.2,0.6,0.6,G343_GPS,wang_shen_2020
95.367,36.955,"4955",8.9,7.7,0.4,0.4,G344_GPS,wang_shen_2020
105.641,36.828,"4956",6.3,-0.2,0.4,0.4,G345_GPS,wang_shen_2020
93.62,36.746,"4957",7.8,9.1,0.6,0.7,G346_GPS,wang_shen_2020
91.886,37.038,"4958",8.6,12.3,0.5,0.5,G347_GPS,wang_shen_2020
106.678,36.567,"4959",5.1,-2.7,0.5,0.5,G348_GPS,wang_shen_2020
96.448,36.437,"4960",9.4,8.9,0.5,0.5,G349_GPS,wang_shen_2020
106.306,36.433,"4961",5.6,-2.4,0.5,0.5,G350_GPS,wang_shen_2020
99.775,36.255,"4962",10.3,4.8,0.4,0.4,G351_GPS,wang_shen_2020
105.37,35.996,"4963",8.4,-2.5,0.5,0.5,G352_GPS,wang_shen_2020
101.361,35.717,"4964",10.2,3.2,0.5,0.5,G354_GPS,wang_shen_2020
106.343,35.393,"4965",7.1,-2.7,0.4,0.4,G355_GPS,wang_shen_2020
106.207,35.247,"4966",6.5,-2.9,0.4,0.4,G356_GPS,wang_shen_2020
105.199,35.215,"4967",7.6,-1.8,0.4,0.4,G357_GPS,wang_shen_2020
100.814,35.244,"4968",11.7,4,0.6,0.6,G358_GPS,wang_shen_2020
101.707,35.052,"4969",10.9,3.3,0.4,0.4,G360_GPS,wang_shen_2020
107.335,34.8,"4970",7.8,-2.6,0.5,0.5,G361_GPS,wang_shen_2020
107.062,34.68,"4971",7.5,-2,0.5,0.5,G363_GPS,wang_shen_2020
101.88,34.567,"4972",10.7,2.4,0.4,0.4,G364_GPS,wang_shen_2020
106.056,34.535,"4973",7.7,-1.8,0.4,0.4,G365_GPS,wang_shen_2020
96.886,41.128,"4974",3.6,2.5,0.9,0.8,GA01_GPS,wang_shen_2020
99.696,40.463,"4975",2.9,2,0.7,0.7,GA02_GPS,wang_shen_2020
98.666,40.71,"4976",3.3,0.8,0.9,0.8,GA03_GPS,wang_shen_2020
94.324,39.955,"4977",2.7,5.4,1,0.8,GA05_GPS,wang_shen_2020
99.956,39.581,"4978",2.9,1.3,0.7,0.6,GA08_GPS,wang_shen_2020
101.064,39.502,"4979",3.1,1.2,0.6,0.6,GA09_GPS,wang_shen_2020
95.318,39.333,"4980",5.7,2.9,1.1,0.9,GA12_GPS,wang_shen_2020
100.104,39.002,"4981",3.7,0.9,0.8,0.8,GA16_GPS,wang_shen_2020
99.329,38.646,"4982",4.4,3.7,0.8,0.8,GA18_GPS,wang_shen_2020
100.276,37.804,"4983",7.1,2.7,0.8,0.8,GA19_GPS,wang_shen_2020
100.564,37.723,"4984",8.2,2.5,0.8,0.7,GA21_GPS,wang_shen_2020
100.11,37.429,"4985",8.2,3.6,0.7,0.7,GA23_GPS,wang_shen_2020
103.655,37.226,"4986",6.6,1.6,0.6,0.6,GA26_GPS,wang_shen_2020
83.643,28.599,"4987",8.8,27.6,0.7,0.6,GANS_GPS,wang_shen_2020
75.479,38.853,"4988",1,22.1,0.5,0.5,GAZE_GPS,wang_shen_2020
105.808,35.957,"4989",8.1,-2.4,0.4,0.4,GB02_GPS,wang_shen_2020
105.649,34.785,"4990",7.3,-1.9,0.4,0.4,GB08_GPS,wang_shen_2020
97.012,40.285,"4991",2.4,2.6,0.9,1,GC24_GPS,wang_shen_2020
94.758,40.157,"4992",3.3,4.3,0.7,0.7,GC27_GPS,wang_shen_2020
105.997,38.385,"4993",4.4,-0.7,0.5,0.5,GC30_GPS,wang_shen_2020
90.959,29.278,"4994",19.3,20.2,1.5,1.5,GGAR_GPS,wang_shen_2020
85.156,36.986,"4995",1.8,15.6,1.5,1.4,GRUB_GPS,wang_shen_2020
106.509,33.915,"4996",6.9,-1.4,0.2,0.3,H001_GPS,wang_shen_2020
105.814,33.891,"4997",7.5,-3.5,0.3,0.3,H002_GPS,wang_shen_2020
105.306,34.108,"4998",7.1,-2.4,0.3,0.3,H003_GPS,wang_shen_2020
106.924,33.617,"4999",7,-3,0.3,0.3,H004_GPS,wang_shen_2020
105.595,33.697,"5000",7.5,-2.8,0.3,0.3,H005_GPS,wang_shen_2020
105.285,33.781,"5001",7.2,-2.7,0.3,0.3,H006_GPS,wang_shen_2020
106.155,33.34,"5002",6.5,-2.8,0.3,0.4,H007_GPS,wang_shen_2020
106.023,32.962,"5003",7.3,-2.5,0.3,0.3,H009_GPS,wang_shen_2020
105.226,32.571,"5004",6.9,-2,0.4,0.4,H010_GPS,wang_shen_2020
105.83,32.448,"5005",6.7,-2.4,0.4,0.4,H011_GPS,wang_shen_2020
105.457,32.018,"5006",7,-2.1,0.5,0.4,H012_GPS,wang_shen_2020
103.247,34.749,"5007",10.4,0.9,0.2,0.2,H013_GPS,wang_shen_2020
104.073,34.403,"5008",8.8,-0.8,0.3,0.3,H014_GPS,wang_shen_2020
102.502,34.589,"5009",10,2.1,0.3,0.3,H015_GPS,wang_shen_2020
104.384,34.046,"5010",8.5,-1,0.3,0.3,H016_GPS,wang_shen_2020
103.147,34.109,"5011",10.3,0.5,0.3,0.3,H017_GPS,wang_shen_2020
102.126,34.0,"5012",12.2,1.1,0.3,0.3,H018_GPS,wang_shen_2020
104.401,33.787,"5013",8.7,-1.2,0.3,0.3,H019_GPS,wang_shen_2020
103.727,33.937,"5014",9.4,0.1,0.3,0.3,H020_GPS,wang_shen_2020
104.824,33.423,"5015",8.5,-2.1,0.3,0.3,H021_GPS,wang_shen_2020
104.625,33.001,"5016",7.4,-2.4,0.3,0.3,H022_GPS,wang_shen_2020
103.435,32.931,"5017",10.7,-1.4,0.3,0.4,H025_GPS,wang_shen_2020
102.991,33.571,"5018",11.9,-0.1,0.3,0.3,H026_GPS,wang_shen_2020
101.482,33.429,"5019",14,1.1,0.3,0.3,H027_GPS,wang_shen_2020
101.706,32.902,"5020",14.1,0.2,0.3,0.3,H028_GPS,wang_shen_2020
100.595,33.093,"5021",15,1.4,0.4,0.4,H029_GPS,wang_shen_2020
103.613,32.591,"5022",9.1,-2.5,0.3,0.3,H030_GPS,wang_shen_2020
102.501,32.786,"5023",13.2,0.2,0.4,0.4,H031_GPS,wang_shen_2020
104.571,32.405,"5024",7.8,-2,0.3,0.3,H032_GPS,wang_shen_2020
104.832,32.182,"5025",7.2,-2.8,0.3,0.3,H033_GPS,wang_shen_2020
103.732,32.361,"5026",8.5,-2.6,0.3,0.4,H034_GPS,wang_shen_2020
104.444,31.802,"5027",7.5,-2.4,0.3,0.3,H035_GPS,wang_shen_2020
103.166,32.075,"5028",9.2,-2.3,0.3,0.3,H037_GPS,wang_shen_2020
100.728,31.862,"5029",12.8,-1.3,0.4,0.4,H039_GPS,wang_shen_2020
101.615,31.77,"5030",11.6,-1.9,0.3,0.3,H040_GPS,wang_shen_2020
101.07,32.319,"5031",13.9,-0.2,0.3,0.3,H041_GPS,wang_shen_2020
100.334,32.275,"5032",15.7,0.5,0.4,0.3,H042_GPS,wang_shen_2020
104.782,31.486,"5033",7.1,-2.1,0.3,0.3,H043_GPS,wang_shen_2020
104.187,31.353,"5034",7.3,-2.6,0.3,0.4,H044_GPS,wang_shen_2020
103.612,31.474,"5035",8.8,-2.7,0.3,0.3,H045_GPS,wang_shen_2020
102.67,31.85,"5036",10.6,-2.9,0.5,0.5,H046_GPS,wang_shen_2020
102.096,31.466,"5037",11.5,-2.1,0.4,0.4,H047_GPS,wang_shen_2020
104.441,31.157,"5038",7.6,-2.5,0.4,0.4,H048_GPS,wang_shen_2020
103.692,31.06,"5039",7.6,-4.5,0.5,0.5,H049_GPS,wang_shen_2020
103.145,31.008,"5040",8.9,-3.4,0.4,0.4,H050_GPS,wang_shen_2020
102.775,30.992,"5041",9,-3.5,0.4,0.5,H051_GPS,wang_shen_2020
101.163,30.955,"5042",13.5,-4.9,0.5,0.5,H053_GPS,wang_shen_2020
100.75,31.297,"5043",16.3,-5.4,0.3,0.3,H054_GPS,wang_shen_2020
100.297,31.646,"5044",17.7,-4.3,0.6,0.5,H056_GPS,wang_shen_2020
100.241,31.32,"5045",19.5,-7.7,0.4,0.3,H057_GPS,wang_shen_2020
104.077,30.732,"5046",6.5,-1.8,0.4,0.4,H058_GPS,wang_shen_2020
103.865,30.692,"5047",7.4,-2.4,0.6,0.6,H059_GPS,wang_shen_2020
103.41,30.415,"5048",7.7,-4.1,0.5,0.5,H060_GPS,wang_shen_2020
102.841,30.253,"5049",9.1,-3.2,0.4,0.4,H061_GPS,wang_shen_2020
100.929,31.143,"5050",15.5,-6.7,0.6,0.5,H062_GPS,wang_shen_2020
100.307,30.925,"5051",18.2,-8.5,0.3,0.3,H063_GPS,wang_shen_2020
103.845,30.041,"5052",6.2,-2.9,1.1,1.1,H064_GPS,wang_shen_2020
101.788,30.074,"5053",11.2,-8.4,0.6,0.5,H066_GPS,wang_shen_2020
101.486,30.075,"5054",14.4,-11.2,0.4,0.4,H067_GPS,wang_shen_2020
101.023,30.106,"5055",15.7,-8.8,0.3,0.3,H068_GPS,wang_shen_2020
99.168,30.094,"5056",16,-6.9,0.3,0.3,H069_GPS,wang_shen_2020
104.536,30.374,"5057",7.5,-1.7,0.5,0.5,H071_GPS,wang_shen_2020
102.817,29.789,"5058",8,-3.4,0.3,0.3,H072_GPS,wang_shen_2020
102.29,29.848,"5059",8.6,-4.3,0.3,0.3,H073_GPS,wang_shen_2020
101.558,29.846,"5060",12.9,-12,0.4,0.4,H074_GPS,wang_shen_2020
100.39,29.695,"5061",15.2,-11.4,0.3,0.3,H075_GPS,wang_shen_2020
103.468,29.602,"5062",6.9,-2.9,0.4,0.4,H076_GPS,wang_shen_2020
102.655,29.348,"5063",8.6,-4.9,0.6,0.6,H077_GPS,wang_shen_2020
102.08,29.688,"5064",11.4,-6.1,0.3,0.3,H078_GPS,wang_shen_2020
100.121,29.175,"5065",13.5,-11.6,0.3,0.3,H080_GPS,wang_shen_2020
103.261,29.228,"5066",7.5,-2.8,0.3,0.3,H081_GPS,wang_shen_2020
102.439,29.263,"5067",11.1,-7.2,0.3,0.3,H082_GPS,wang_shen_2020
101.518,28.964,"5068",11.6,-12.1,0.2,0.2,H083_GPS,wang_shen_2020
103.043,28.847,"5069",8.4,-4.1,0.4,0.4,H086_GPS,wang_shen_2020
103.978,28.605,"5070",7.1,-2.4,0.4,0.4,H088_GPS,wang_shen_2020
